id,IdDataset,NombreConjuntoDatos,UrlConexionAPI
38,cf0167,Costo Restricciones Asignadas al Agente,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=cf0167
39,10063b,Costo Servicios ASIC y CND,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=10063b
40,b15ed2,Costo unitario promedio diario de reconciliación positiva,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=b15ed2
41,965765,Costo unitario SIMEM y SICEP,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=965765
42,ef0522,Costos Marginales Energético Largo Plazo,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=ef0522
43,82ae92,Costos Marginales Energético Mediano Plazo,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=82ae92
44,9e491b,"Datos soporte del proceso de Contratos por Código sic agente, Recurso, versión y horaria",https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=9e491b
45,fa4671,"Datos soporte del proceso de Contratos por Recurso, versión y diaria",https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=fa4671
46,ab3d66,Datos soporte del proceso de Contratos por versión y horaria,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=ab3d66
47,48cd87,"Datos soporte del proceso de Demandas por Código sic agente, Código sic frontera, Tipo frontera, versión y horaria",https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=48cd87
48,c1b851,"Datos soporte del proceso de Demandas por Código sic agente, Mercado comercialización, Sistema transmisión, versión y horaria",https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=c1b851
49,085460,"Datos soporte del proceso de Demandas por Código sic agente, Recurso, Tipo despacho Recurso, Estado, versión y diaria",https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=085460
